,userId,movieId,rating,timestamp,title,genres,KID,year,decade,count,mean
29443,202,596,4.0,975015867,Pinocchio (1940),Animation|Children|Fantasy|Musical,YES,1940,1930,60,3.45
29462,202,919,4.0,974912341,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,YES,1939,1930,92,3.880434782608696
29466,202,953,5.0,974912002,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,YES,1946,1940,58,4.0344827586206895
29469,202,1031,3.0,974912096,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,YES,1971,1970,24,3.4791666666666665
29478,202,1097,4.0,974912792,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,YES,1982,1980,122,3.7663934426229506
29543,202,1302,5.0,975015323,Field of Dreams (1989),Children|Drama|Fantasy,YES,1989,1980,56,3.517857142857143
29602,202,2018,4.0,975015867,Bambi (1942),Animation|Children|Drama,YES,1942,1940,38,3.3684210526315788
29613,202,2116,3.0,974923220,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy,YES,1978,1970,15,3.1333333333333333
29637,202,2355,4.0,974923872,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,YES,1998,1990,92,3.516304347826087
29647,202,2414,4.0,974919016,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller,YES,1985,1980,11,3.3636363636363638
29670,202,2761,5.0,975015913,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi,YES,1999,1990,39,4.051282051282051
29800,203,2987,3.5,1390095338,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,YES,1988,1980,97,3.5721649484536084
29806,203,4306,4.0,1390095326,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
29807,203,4886,4.0,1390095323,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,YES,2001,2000,132,3.871212121212121
29808,203,4896,3.5,1390094907,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,YES,2001,2000,107,3.7616822429906542
29831,204,711,2.0,1327170387,Flipper (1996),Adventure|Children,YES,1996,1990,10,3.05
29849,204,3751,4.0,1327182555,Chicken Run (2000),Animation|Children|Comedy,YES,2000,1990,78,3.551282051282051
29852,204,4306,4.0,1327182567,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
29854,204,4886,3.5,1327182585,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy,YES,2001,2000,132,3.871212121212121
29857,204,5218,4.0,1327182607,Ice Age (2002),Adventure|Animation|Children|Comedy,YES,2002,2000,85,3.6882352941176473
29872,204,33615,4.0,1327182622,Madagascar (2005),Adventure|Animation|Children|Comedy,YES,2005,2000,40,3.375
29890,204,67295,3.5,1327182496,Kung Fu Panda: Secrets of the Furious Five (2008),Action|Animation|Children|Comedy,YES,2008,2000,4,2.875
29892,204,68954,4.0,1327182451,Up (2009),Adventure|Animation|Children|Drama,YES,2009,2000,105,4.004761904761905
29894,204,71264,4.0,1327182516,Cloudy with a Chance of Meatballs (2009),Animation|Children|Fantasy|IMAX,YES,2009,2000,17,3.5294117647058822
29897,204,79224,0.5,1327181164,"Karate Kid, The (2010)",Action|Children|Drama,YES,2010,2000,8,2.5
29904,204,87222,2.0,1327181278,Kung Fu Panda 2 (2011),Action|Adventure|Animation|Children|Comedy|IMAX,YES,2011,2010,17,3.323529411764706
29912,205,1028,3.0,1519900755,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,YES,1964,1960,71,3.887323943661972
29916,205,4896,4.5,1519900808,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,YES,2001,2000,107,3.7616822429906542
29931,205,95167,4.0,1519901669,Brave (2012),Action|Adventure|Animation|Children,YES,2012,2010,30,3.466666666666667
29936,206,1,5.0,850763267,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
29950,206,661,5.0,850763402,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,YES,1996,1990,49,3.4489795918367347
29955,206,783,4.0,850763367,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,YES,1996,1990,47,3.3297872340425534
29959,206,1073,3.0,850763367,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,YES,1971,1970,119,3.8739495798319328
29971,207,2384,0.5,1258548206,Babe: Pig in the City (1998),Adventure|Children|Drama,YES,1998,1990,29,2.7758620689655173
30030,209,68954,4.0,1524607294,Up (2009),Adventure|Animation|Children|Drama,YES,2009,2000,105,4.004761904761905
30062,210,4306,4.0,1473881922,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
30065,210,4896,4.5,1527266266,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,YES,2001,2000,107,3.7616822429906542
30084,210,8907,1.5,1475611030,Shark Tale (2004),Animation|Children|Comedy,YES,2004,2000,13,2.3461538461538463
30087,210,33615,4.5,1473881816,Madagascar (2005),Adventure|Animation|Children|Comedy,YES,2005,2000,40,3.375
30094,210,50872,4.0,1475349175,Ratatouille (2007),Animation|Children|Drama,YES,2007,2000,72,3.8680555555555554
30097,210,56171,3.5,1527867678,"Golden Compass, The (2007)",Adventure|Children|Fantasy,YES,2007,2000,18,3.111111111111111
30102,210,60069,5.0,1473882095,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,YES,2008,2000,104,4.0576923076923075
30105,210,62999,4.0,1527266297,Madagascar: Escape 2 Africa (2008),Action|Adventure|Animation|Children|Comedy|IMAX,YES,2008,2000,13,3.6923076923076925
30111,210,71745,2.0,1528624375,Where the Wild Things Are (2009),Adventure|Children|Drama|Fantasy|IMAX,YES,2009,2000,12,2.6666666666666665
30113,210,76093,5.0,1473705582,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX,YES,2010,2000,53,3.943396226415094
30116,210,78499,4.0,1527266238,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,YES,2010,2000,55,4.109090909090909
30117,210,79091,4.0,1533667246,Despicable Me (2010),Animation|Children|Comedy|Crime,YES,2010,2000,38,3.6842105263157894
30118,210,79139,4.5,1528619175,"Sorcerer's Apprentice, The (2010)",Action|Adventure|Children|Comedy|Fantasy,YES,2010,2000,10,3.45
30119,210,81564,4.5,1473882072,Megamind (2010),Action|Animation|Children|Comedy|Sci-Fi|IMAX,YES,2010,2000,20,3.6
30125,210,90866,4.5,1517149708,Hugo (2011),Children|Drama|Mystery,YES,2011,2010,18,3.75
30126,210,95105,4.0,1527266298,Madagascar 3: Europe's Most Wanted (2012),Adventure|Animation|Children|Comedy|IMAX,YES,2012,2010,9,3.388888888888889
30127,210,95167,3.0,1517173079,Brave (2012),Action|Adventure|Animation|Children,YES,2012,2010,30,3.466666666666667
30130,210,98243,4.5,1527266161,Rise of the Guardians (2012),Adventure|Animation|Children|Fantasy|IMAX,YES,2012,2010,12,3.7916666666666665
30134,210,103335,4.0,1533667259,Despicable Me 2 (2013),Animation|Children|Comedy|IMAX,YES,2013,2010,19,3.5789473684210527
30137,210,108932,3.0,1527266215,The Lego Movie (2014),Action|Adventure|Animation|Children|Comedy|Fantasy,YES,2014,2010,31,3.870967741935484
30160,210,135887,4.0,1533667275,Minions (2015),Adventure|Animation|Children|Comedy,YES,2015,2010,15,3.1666666666666665
30161,210,140359,4.5,1527266211,Doctor Who: The Waters of Mars (2009),Adventure|Children|Sci-Fi,YES,2009,2000,4,4.0
30166,210,147378,4.5,1527266129,Doctor Who: Planet of the Dead (2009),Adventure|Children|Drama|Sci-Fi,YES,2009,2000,4,3.0
30167,210,147380,4.5,1527266120,Doctor Who: The Next Doctor (2008),Adventure|Children|Drama|Sci-Fi,YES,2008,2000,4,2.875
30174,210,177765,5.0,1537632257,Coco (2017),Adventure|Animation|Children,YES,2017,2010,13,3.5384615384615383
30186,211,1025,4.0,1350912068,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical,YES,1963,1960,25,3.58
30195,211,1223,3.5,1350911995,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi,YES,1989,1980,28,4.089285714285714
30203,211,2087,3.5,1350912861,Peter Pan (1953),Animation|Children|Fantasy|Musical,YES,1953,1950,41,3.573170731707317
30213,211,3034,4.5,1350912147,Robin Hood (1973),Adventure|Animation|Children|Comedy|Musical,YES,1973,1970,36,3.513888888888889
30219,211,3988,3.5,1350912064,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Children|Comedy|Fantasy,YES,2000,1990,33,3.0454545454545454
30256,211,78499,4.0,1350913084,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,YES,2010,2000,55,4.109090909090909
30274,212,364,3.0,1523216970,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,YES,1994,1990,172,3.941860465116279
30304,212,2005,4.0,1523216935,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,YES,1985,1980,57,3.5701754385964914
30306,212,2048,3.5,1532362079,"Great Mouse Detective, The (1986)",Action|Animation|Children|Crime,YES,1986,1980,8,3.5625
30307,212,2078,4.0,1523217061,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical,YES,1967,1960,53,3.830188679245283
30323,212,4016,4.5,1528479516,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy,YES,2000,1990,37,3.7162162162162162
30325,212,4306,4.0,1523216459,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
30326,212,4896,3.5,1523216502,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy,YES,2001,2000,107,3.7616822429906542
30329,212,5218,3.5,1523216567,Ice Age (2002),Adventure|Animation|Children|Comedy,YES,2002,2000,85,3.6882352941176473
30334,212,5971,4.0,1490115749,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy,YES,1988,1980,37,3.9594594594594597
30335,212,6350,4.0,1490203098,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi,YES,1986,1980,24,4.0625
30337,212,6377,3.5,1523216478,Finding Nemo (2003),Adventure|Animation|Children|Comedy,YES,2003,2000,141,3.9609929078014185
30350,212,8961,3.0,1523216920,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy,YES,2004,2000,125,3.836
30351,212,8965,3.0,1528479611,"Polar Express, The (2004)",Adventure|Animation|Children|Fantasy|IMAX,YES,2004,2000,11,3.1363636363636362
30353,212,26662,4.0,1490115695,Kiki's Delivery Service (Majo no takkyûbin) (1989),Adventure|Animation|Children|Drama|Fantasy,YES,1989,1980,17,4.0588235294117645
30367,212,50872,3.0,1490203213,Ratatouille (2007),Animation|Children|Drama,YES,2007,2000,72,3.8680555555555554
30383,212,58299,4.0,1528479502,Horton Hears a Who! (2008),Adventure|Animation|Children|Comedy,YES,2008,2000,8,3.4375
30387,212,59784,4.0,1523216638,Kung Fu Panda (2008),Action|Animation|Children|Comedy|IMAX,YES,2008,2000,54,3.4444444444444446
30388,212,60069,4.0,1498429644,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi,YES,2008,2000,104,4.0576923076923075
30392,212,65261,3.5,1490115730,Ponyo (Gake no ue no Ponyo) (2008),Adventure|Animation|Children|Fantasy,YES,2008,2000,11,4.0
30396,212,68954,3.0,1490115514,Up (2009),Adventure|Animation|Children|Drama,YES,2009,2000,105,4.004761904761905
30400,212,72226,4.5,1490115587,Fantastic Mr. Fox (2009),Adventure|Animation|Children|Comedy|Crime,YES,2009,2000,18,4.083333333333333
30405,212,76093,2.5,1523216857,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX,YES,2010,2000,53,3.943396226415094
30409,212,79091,4.0,1523216677,Despicable Me (2010),Animation|Children|Comedy|Crime,YES,2010,2000,38,3.6842105263157894
30416,212,83132,4.0,1490115724,"Secret World of Arrietty, The (Kari-gurashi no Arietti) (2010)",Animation|Children|Fantasy,YES,2010,2000,4,3.5
30438,212,98243,4.0,1528479595,Rise of the Guardians (2012),Adventure|Animation|Children|Fantasy|IMAX,YES,2012,2010,12,3.7916666666666665
30453,212,108932,3.5,1490121242,The Lego Movie (2014),Action|Adventure|Animation|Children|Comedy|Fantasy,YES,2014,2010,31,3.870967741935484
30490,212,152081,3.0,1490114901,Zootopia (2016),Action|Adventure|Animation|Children|Comedy,YES,2016,2010,32,3.890625
30496,212,162578,4.0,1490115515,Kubo and the Two Strings (2016),Adventure|Animation|Children|Fantasy,YES,2016,2010,6,4.0
30498,212,166461,4.0,1523217279,Moana (2016),Adventure|Animation|Children|Comedy|Fantasy,YES,2016,2010,10,3.45
30511,212,179401,4.0,1527794999,Jumanji: Welcome to the Jungle (2017),Action|Adventure|Children,YES,2017,2010,6,3.6666666666666665
30517,213,1,3.5,1316196157,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
30530,213,1367,3.5,1316195537,101 Dalmatians (1996),Adventure|Children|Comedy,YES,1996,1990,47,3.074468085106383
30534,213,1920,4.0,1316194730,Small Soldiers (1998),Animation|Children|Fantasy|War,YES,1998,1990,18,2.8333333333333335
30537,213,2162,3.5,1316195159,"NeverEnding Story II: The Next Chapter, The (1990)",Adventure|Children|Fantasy,YES,1990,1980,8,2.5
30545,213,3114,3.5,1316197248,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,YES,1999,1990,97,3.8608247422680413
30552,213,4306,4.5,1316196194,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,YES,2001,2000,170,3.8676470588235294
30558,213,5419,3.0,1316195175,Scooby-Doo (2002),Adventure|Children|Comedy|Fantasy|Mystery,YES,2002,2000,17,2.8529411764705883
30567,213,8360,5.0,1316196196,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance,YES,2004,2000,92,3.5760869565217392
30579,213,53121,3.0,1316196209,Shrek the Third (2007),Adventure|Animation|Children|Comedy|Fantasy,YES,2007,2000,21,3.0238095238095237
30595,213,78499,4.5,1316196160,Toy Story 3 (2010),Adventure|Animation|Children|Comedy|Fantasy|IMAX,YES,2010,2000,55,4.109090909090909
30601,214,1,3.0,853937855,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
30611,214,661,3.0,853937959,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,YES,1996,1990,49,3.4489795918367347
30619,214,1073,3.0,853937922,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,YES,1971,1970,119,3.8739495798319328
30668,215,2005,4.5,1260909151,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,YES,1985,1980,57,3.5701754385964914
30721,216,1,3.0,975211713,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
30723,216,34,5.0,975212451,Babe (1995),Children|Drama,YES,1995,1990,128,3.65234375
30725,216,48,2.0,975211866,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,YES,1995,1990,68,3.1470588235294117
30728,216,364,3.0,975211782,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,YES,1994,1990,172,3.941860465116279
30733,216,551,3.0,975212699,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,YES,1993,1990,93,3.553763440860215
30734,216,588,4.0,975211749,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
30735,216,594,4.0,975211749,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,YES,1937,1930,77,3.616883116883117
30736,216,595,5.0,975211713,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,YES,1991,1990,146,3.7705479452054793
30737,216,616,4.0,975211831,"Aristocats, The (1970)",Animation|Children,YES,1970,1960,45,3.411111111111111
30756,216,1028,4.0,975212727,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,YES,1964,1960,71,3.887323943661972
30757,216,1032,4.0,975211831,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,YES,1951,1950,40,3.375
30780,216,1282,4.0,975211713,Fantasia (1940),Animation|Children|Fantasy|Musical,YES,1940,1930,53,3.7830188679245285
30793,216,2018,4.0,975211713,Bambi (1942),Animation|Children|Drama,YES,1942,1940,38,3.3684210526315788
30795,216,2081,4.0,975211782,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,YES,1989,1980,67,3.425373134328358
30796,216,2087,4.0,975211831,Peter Pan (1953),Animation|Children|Fantasy|Musical,YES,1953,1950,41,3.573170731707317
30798,216,2141,2.0,975211831,"American Tail, An (1986)",Adventure|Animation|Children|Comedy,YES,1986,1980,18,3.1666666666666665
30817,216,2761,2.0,975211714,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi,YES,1999,1990,39,4.051282051282051
30830,216,2987,3.0,975211596,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,YES,1988,1980,97,3.5721649484536084
30885,217,1,4.0,955942540,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
30886,217,2,2.0,955942327,Jumanji (1995),Adventure|Children|Fantasy,YES,1995,1990,110,3.4318181818181817
30895,217,34,4.0,955943345,Babe (1995),Children|Drama,YES,1995,1990,128,3.65234375
30896,217,38,2.0,955945548,It Takes Two (1995),Children|Comedy,YES,1995,1990,4,2.125
30901,217,60,2.0,955942221,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,YES,1995,1990,34,3.235294117647059
30903,217,87,3.0,955945423,Dunston Checks In (1996),Children|Comedy,YES,1996,1990,7,2.5
30911,217,158,2.0,955942221,Casper (1995),Adventure|Children,YES,1995,1990,62,2.806451612903226
30947,217,374,3.0,955945401,Richie Rich (1994),Children|Comedy,YES,1994,1990,25,2.2
30952,217,410,3.0,955935527,Addams Family Values (1993),Children|Comedy|Fantasy,YES,1993,1990,84,3.1011904761904763
30955,217,421,3.0,955942112,Black Beauty (1994),Adventure|Children|Drama,YES,1994,1990,12,3.2083333333333335
30989,217,546,3.0,955941703,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,YES,1993,1990,21,2.0
30991,217,551,3.0,955934988,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,YES,1993,1990,93,3.553763440860215
30993,217,558,3.0,955941666,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,YES,1994,1990,8,2.9375
30995,217,575,2.0,955944976,"Little Rascals, The (1994)",Children|Comedy,YES,1994,1990,16,2.65625
31000,217,594,3.0,955942540,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,YES,1937,1930,77,3.616883116883117
31002,217,616,3.0,955935417,"Aristocats, The (1970)",Animation|Children,YES,1970,1960,45,3.411111111111111
31006,217,661,3.0,955942698,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,YES,1996,1990,49,3.4489795918367347
31007,217,673,3.0,955942327,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,YES,1996,1990,53,2.707547169811321
31024,217,801,3.0,955944713,Harriet the Spy (1996),Children|Comedy,YES,1996,1990,11,3.1363636363636362
31030,217,837,2.0,955944596,Matilda (1996),Children|Comedy|Fantasy,YES,1996,1990,33,3.272727272727273
31040,217,919,3.0,955941874,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,YES,1939,1930,92,3.880434782608696
31045,217,986,4.0,955941949,Fly Away Home (1996),Adventure|Children,YES,1996,1990,13,3.5384615384615383
31048,217,1007,2.0,955944775,"Apple Dumpling Gang, The (1975)",Children|Comedy|Western,YES,1975,1970,10,2.6
31049,217,1014,3.0,955943917,Pollyanna (1960),Children|Comedy|Drama,YES,1960,1950,5,2.9
31050,217,1016,2.0,955944568,"Shaggy Dog, The (1959)",Children|Comedy,YES,1959,1950,5,2.9
31051,217,1017,4.0,955941990,Swiss Family Robinson (1960),Adventure|Children,YES,1960,1950,10,3.5
31052,217,1018,2.0,955944568,That Darn Cat! (1965),Children|Comedy|Mystery,YES,1965,1960,6,2.4166666666666665
31055,217,1021,1.0,955944758,Angels in the Outfield (1994),Children|Comedy,YES,1994,1990,27,2.3333333333333335
31056,217,1022,3.0,955942619,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance,YES,1950,1940,42,3.488095238095238
31057,217,1029,3.0,955942619,Dumbo (1941),Animation|Children|Drama|Musical,YES,1941,1940,35,3.3857142857142857
31058,217,1031,2.0,955942145,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,YES,1971,1970,24,3.4791666666666665
31059,217,1032,3.0,955942619,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical,YES,1951,1950,40,3.375
31063,217,1073,3.0,955942041,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,YES,1971,1970,119,3.8739495798319328
31078,217,1148,4.0,955942540,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,YES,1993,1990,56,4.035714285714286
31113,217,1359,1.0,955942294,Jingle All the Way (1996),Children|Comedy,YES,1996,1990,18,2.861111111111111
31114,217,1367,3.0,955945151,101 Dalmatians (1996),Adventure|Children|Comedy,YES,1996,1990,47,3.074468085106383
31136,217,1474,1.0,955945372,Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children|Comedy,YES,1997,1990,11,2.1363636363636362
31153,217,1582,3.0,955942041,Wild America (1997),Adventure|Children,YES,1997,1990,5,2.6
31159,217,1592,3.0,955945275,Air Bud (1997),Children|Comedy,YES,1997,1990,4,2.375
31174,217,1646,2.0,955945091,RocketMan (a.k.a. Rocket Man) (1997),Children|Comedy|Romance|Sci-Fi,YES,1997,1990,7,2.142857142857143
31187,217,1713,3.0,955945275,Mouse Hunt (1997),Children|Comedy,YES,1997,1990,7,3.0714285714285716
31198,217,1806,1.0,955942177,Paulie (1998),Adventure|Children|Comedy,YES,1998,1990,8,2.3125
31203,217,1848,3.0,955942221,"Borrowers, The (1997)",Adventure|Children|Comedy|Fantasy,YES,1997,1990,12,3.0416666666666665
31216,217,1920,3.0,955942698,Small Soldiers (1998),Animation|Children|Fantasy|War,YES,1998,1990,18,2.8333333333333335
31229,217,2005,3.0,955942112,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,YES,1985,1980,57,3.5701754385964914
31233,217,2014,3.0,955945151,Freaky Friday (1977),Children|Comedy|Fantasy,YES,1977,1970,8,2.625
31236,217,2040,3.0,955944400,"Computer Wore Tennis Shoes, The (1969)",Children|Comedy,YES,1969,1960,7,2.857142857142857
31237,217,2046,3.0,955942041,Flight of the Navigator (1986),Adventure|Children|Sci-Fi,YES,1986,1980,24,3.2083333333333335
31238,217,2052,3.0,955944976,Hocus Pocus (1993),Children|Comedy|Fantasy|Horror,YES,1993,1990,23,2.760869565217391
31239,217,2054,3.0,955942294,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi,YES,1989,1980,68,2.7573529411764706
31244,217,2080,3.0,955942646,Lady and the Tramp (1955),Animation|Children|Comedy|Romance,YES,1955,1950,55,3.4
31245,217,2082,2.0,955935527,"Mighty Ducks, The (1992)",Children|Comedy,YES,1992,1990,26,2.6538461538461537
31246,217,2085,3.0,955942619,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children,YES,1961,1960,44,3.4318181818181817
31247,217,2087,4.0,955942619,Peter Pan (1953),Animation|Children|Fantasy|Musical,YES,1953,1950,41,3.573170731707317
31250,217,2096,2.0,955942619,Sleeping Beauty (1959),Animation|Children|Musical,YES,1959,1950,22,3.409090909090909
31258,217,2123,2.0,955942742,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy,YES,1989,1980,15,2.7
31259,217,2124,3.0,955935270,"Addams Family, The (1991)",Children|Comedy|Fantasy,YES,1991,1990,38,3.289473684210526
31262,217,2137,4.0,955942619,Charlotte's Web (1973),Animation|Children,YES,1973,1970,21,3.5476190476190474
31263,217,2139,3.0,955942646,"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama,YES,1982,1980,21,3.4761904761904763
31269,217,2161,2.0,955942145,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy,YES,1984,1980,43,3.5813953488372094
31283,217,2294,2.0,955942666,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy,YES,1998,1990,45,3.2444444444444445
31293,217,2354,3.0,955942742,"Rugrats Movie, The (1998)",Animation|Children|Comedy,YES,1998,1990,7,2.5
31306,217,2384,4.0,955943627,Babe: Pig in the City (1998),Adventure|Children|Drama,YES,1998,1990,29,2.7758620689655173
31321,217,2414,4.0,955940793,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller,YES,1985,1980,11,3.3636363636363638
31383,217,2798,1.0,955945592,Problem Child (1990),Children|Comedy,YES,1990,1980,12,1.5833333333333333
31385,217,2804,3.0,955943285,"Christmas Story, A (1983)",Children|Comedy,YES,1983,1980,55,3.9727272727272727
31411,217,2987,3.0,955942041,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,YES,1988,1980,97,3.5721649484536084
31430,217,3114,5.0,955942568,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,YES,1999,1990,97,3.8608247422680413
31459,217,3388,2.0,955944863,Harry and the Hendersons (1987),Children|Comedy,YES,1987,1980,11,2.5454545454545454
31462,217,3396,3.0,955943469,"Muppet Movie, The (1979)",Adventure|Children|Comedy|Musical,YES,1979,1970,33,3.590909090909091
31524,219,1,3.5,1194681084,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,YES,1995,1990,215,3.9209302325581397
31525,219,2,2.5,1194740185,Jumanji (1995),Adventure|Children|Fantasy,YES,1995,1990,110,3.4318181818181817
31548,219,250,1.5,1198783128,Heavyweights (Heavy Weights) (1995),Children|Comedy,YES,1995,1990,6,2.5
31560,219,355,1.0,1195699206,"Flintstones, The (1994)",Children|Comedy|Fantasy,YES,1994,1990,42,2.357142857142857
31561,219,364,5.0,1194931867,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,YES,1994,1990,172,3.941860465116279
31570,219,455,2.5,1194740788,Free Willy (1993),Adventure|Children|Drama,YES,1993,1990,37,2.391891891891892
31578,219,546,0.5,1195944991,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,YES,1993,1990,21,2.0
31579,219,586,3.0,1194740087,Home Alone (1990),Children|Comedy,YES,1990,1980,116,2.9956896551724137
31580,219,588,4.5,1194681069,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,YES,1992,1990,183,3.7923497267759565
31584,219,595,2.5,1218210249,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,YES,1991,1990,146,3.7705479452054793
31586,219,616,3.0,1194681357,"Aristocats, The (1970)",Animation|Children,YES,1970,1960,45,3.411111111111111
